Time,Source IP,Destination IP,Protocol,Length,TTL,Source Port,Destination Port,TCP Flags,Content-Type,Host,User-Agent
2025-02-11 20:52:42.027607918,52.223.193.152,192.168.1.63,TCP,82,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.027607918,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.027607918,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.027607918,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.027607918,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.027607918,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.027607918,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.027607918,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.027607918,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.027666092,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.030095100,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.030095100,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.030095100,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.030095100,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.030095100,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.030095100,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.030095100,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.030095100,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.030143023,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.030554056,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.030554056,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.030554056,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.030554056,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.030642033,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.031657934,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.031657934,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.031657934,52.223.193.152,192.168.1.63,TCP,150,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.031687021,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.080244064,52.223.193.152,192.168.1.63,TCP,82,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.080244064,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
